Word1	Word2	OntologicalClass	ExampleType	InPartition	InSplit
aachen	city	location	POS	Train	-
aachen	cleveland	location	NEG	Train	-
aalborg	city	location	POS	Test	6
aalborg	huambo	location	NEG	Dev	51
aalborg	port	location	POS	Dev	51
aalborg	wall_street	location	NEG	Test	6
aalst	kwazulu-natal	location	NEG	Train	-
aalst	town	location	POS	Train	-
aar	chesapeake_bay	object	NEG	Train	-
aar	river	object	POS	Train	-
aarhus	city	location	POS	Test	7
aarhus	frederick	location	NEG	Train	-
aarhus	port	location	POS	Train	-
aarhus	reading	location	NEG	Test	7
aaron_burr	cecil_frank_powell	person	NEG	Train	-
aaron_burr	politician	person	POS	Train	-
aaron_copland	composer	person	POS	Train	-
aaron_copland	william_byrd	person	NEG	Train	-
abadan	city	location	POS	Train	-
abadan	djanet	location	NEG	Train	-
abadan	north_platte	location	NEG	Train	-
abadan	port	location	POS	Train	-
abel_tasman	maker	person	NEG	Train	-
abel_tasman	navigator	person	POS	Train	-
aberdare	town	location	POS	Train	-
aberdare	twins	location	NEG	Train	-
aberdeen	city	location	POS	Train	-
aberdeen	cusco	location	NEG	Train	-
aberdeen	palatinate	location	NEG	Train	-
aberdeen	port_of_entry	location	POS	Train	-
aberdeen	town	location	POS	Train	-
aberdeen	uttar_pradesh	location	NEG	Train	-
abidjan	city	location	POS	Train	-
abidjan	mankato	location	NEG	Train	-
abila	promontory	object	POS	Train	-
abila	strait_of_gibraltar	object	NEG	Train	-
abilene	city	location	POS	Train	-
abilene	mammoth_cave_national_park	location	NEG	Train	-
abilene	northern_mariana_islands	location	NEG	Train	-
abilene	town	location	POS	Train	-
abkhazia	kitakyushu	location	NEG	Train	-
abkhazia	state	location	POS	Train	-
abraham	patriarch	person	POS	Train	-
abraham	stephane_mallarme	person	NEG	Train	-
abraham_lincoln	crispin	person	NEG	Train	-
abraham_lincoln	james_hogg	person	NEG	Train	-
abraham_lincoln	lawyer	person	POS	Train	-
abraham_lincoln	president_of_the_united_states	person	POS	Train	-
abydos	bavaria	location	NEG	Train	-
abydos	town	location	POS	Train	-
acadia	district	location	POS	Train	-
acadia	karachi	location	NEG	Train	-
acadia_national_park	bridgetown	location	NEG	Train	-
acadia_national_park	national_park	location	POS	Train	-
acapulco	city	location	POS	Dev	10
acapulco	ferrara	location	NEG	Train	-
acapulco	luzon	location	NEG	Dev	10
acapulco	port	location	POS	Train	-
achaea	region	location	POS	Train	-
achaea	sevastopol	location	NEG	Train	-
acheron	colorado_river	object	NEG	Test	56
acheron	river	object	POS	Test	56
achomawi	assault	Other	NEG	Train	-
achomawi	community	Other	POS	Train	-
acre	district	location	POS	Train	-
acre	new_haven	location	NEG	Dev	51
acre	pinsk	location	NEG	Train	-
acre	port	location	POS	Dev	51
acre	san_juan	location	NEG	Train	-
acre	town	location	POS	Train	-
actium	hershey	location	NEG	Dev	70
actium	town	location	POS	Dev	70
adam_smith	economist	person	POS	Train	-
adam_smith	harriet_beecher_stowe	person	NEG	Train	-
adams	architect	person	POS	Train	-
adams	frank_capra	person	NEG	Train	-
adams	john_barth	person	NEG	Train	-
adams	man	person	POS	Train	-
adelaide	concord	location	NEG	Train	-
adelaide	state_capital	location	POS	Train	-
aden	city	location	POS	Dev	10
aden	horn_of_africa	location	NEG	Train	-
aden	port	location	POS	Train	-
aden	sun_valley	location	NEG	Dev	10
adi_granth	religious_text	communication	POS	Train	-
adi_granth	second_epistle_to_the_thessalonians	communication	NEG	Train	-
adige	cetus	object	NEG	Train	-
adige	river	object	POS	Train	-
adirondack_mountains	range	object	POS	Train	-
adirondack_mountains	san_fernando_valley	object	NEG	Train	-
adlai_stevenson	diplomat	person	POS	Train	-
adlai_stevenson	ezekiel	person	NEG	Train	-
admiralty_islands	achaea	location	NEG	Test	2
admiralty_islands	archipelago	location	POS	Test	2
admiralty_islands	island	object	POS	Test	33
admiralty_islands	pyrenees	object	NEG	Test	33
adolf_eichmann	nazi	person	POS	Dev	40
adolf_eichmann	oscar_wilde	person	NEG	Dev	40
adolf_hitler	dictator	person	POS	Train	-
adolf_hitler	nazi	person	POS	Train	-
adolf_hitler	saxo_grammaticus	person	NEG	Train	-
adolf_hitler	scipio_africanus	person	NEG	Train	-
adolf_loos	architect	person	POS	Train	-
adolf_loos	woody_allen	person	NEG	Train	-
adriatic_sea	sea	object	POS	Dev	63
adriatic_sea	tasman_sea	object	NEG	Dev	63
aegean_sea	alpha_crucis	object	NEG	Test	62
aegean_sea	sea	object	POS	Test	62
aeschylus	good_shepherd	person	NEG	Train	-
aeschylus	playwright	person	POS	Train	-
affirmed	sir_barton	Other	NEG	Train	-
affirmed	thoroughbred	Other	POS	Train	-
africa	apus	object	NEG	Train	-
africa	continent	object	POS	Train	-
agatha_christie	john_foster_dulles	person	NEG	Train	-
agatha_christie	writer	person	POS	Train	-
agnes_de_mille	choreographer	person	POS	Test	6
agnes_de_mille	douglas_macarthur	person	NEG	Test	6
agonist	fictional_character	person	POS	Dev	28
agonist	jan_hus	person	NEG	Dev	28
agra	cameroon	location	NEG	Train	-
agra	city	location	POS	Train	-
agrigento	tampa	location	NEG	Train	-
agrigento	town	location	POS	Train	-
ahab	albert_camus	person	NEG	Train	-
ahab	king	person	POS	Train	-
aimee_semple_mcpherson	evangelist	person	POS	Train	-
aimee_semple_mcpherson	henry_tudor	person	NEG	Train	-
akhenaton	king	person	POS	Train	-
akhenaton	sholem_asch	person	NEG	Train	-
akira_kurosawa	film_producer	person	POS	Train	-
akira_kurosawa	griffith	person	NEG	Train	-
akka	brighton	location	NEG	Train	-
akka	palermo	location	NEG	Train	-
akka	port	location	POS	Train	-
