Word1	Word2	OntologicalClass	ExampleType	InPartition	InSplit
aachen	city	location	POS	Train	-
aalborg	city	location	POS	Test	6
aalborg	port	location	POS	Dev	51
aalst	town	location	POS	Train	-
aar	river	object	POS	Train	-
aarhus	city	location	POS	Test	7
aarhus	port	location	POS	Train	-
aaron_burr	politician	person	POS	Train	-
aaron_copland	composer	person	POS	Train	-
abadan	city	location	POS	Train	-
abadan	port	location	POS	Train	-
abel_tasman	navigator	person	POS	Train	-
aberdare	town	location	POS	Train	-
aberdeen	city	location	POS	Train	-
aberdeen	port_of_entry	location	POS	Train	-
aberdeen	town	location	POS	Train	-
abidjan	city	location	POS	Train	-
abila	promontory	object	POS	Train	-
abilene	city	location	POS	Train	-
abilene	town	location	POS	Train	-
abkhazia	state	location	POS	Train	-
abraham	patriarch	person	POS	Train	-
abraham_lincoln	lawyer	person	POS	Train	-
abraham_lincoln	president_of_the_united_states	person	POS	Train	-
abydos	town	location	POS	Train	-
acadia	district	location	POS	Train	-
acadia_national_park	national_park	location	POS	Train	-
acapulco	city	location	POS	Dev	10
acapulco	port	location	POS	Train	-
achaea	region	location	POS	Train	-
acheron	river	object	POS	Test	56
achomawi	community	Other	POS	Train	-
acre	district	location	POS	Train	-
acre	port	location	POS	Dev	51
acre	town	location	POS	Train	-
actium	town	location	POS	Dev	70
actor	al_jolson	person	NEG	Train	-
actor	alec_guinness	person	NEG	Train	-
actor	alfred_lunt	person	NEG	Dev	1
actor	anthony_hopkins	person	NEG	Train	-
actor	bela_lugosi	person	NEG	Test	1
actor	bing_crosby	person	NEG	Train	-
actor	booth	person	NEG	Train	-
actor	boris_karloff	person	NEG	Test	1
actor	bruce_lee	person	NEG	Train	-
actor	buster_keaton	person	NEG	Train	-
actor	cary_grant	person	NEG	Train	-
actor	charles_laughton	person	NEG	Train	-
actor	clark_gable	person	NEG	Train	-
actor	coward	person	NEG	Train	-
actor	david_garrick	person	NEG	Train	-
actor	dean	person	NEG	Train	-
actor	douglas_fairbanks	person	NEG	Train	-
actor	dudley_moore	person	NEG	Train	-
actor	dustin_hoffman	person	NEG	Test	1
actor	edmund_kean	person	NEG	Train	-
actor	erich_von_stroheim	person	NEG	Dev	1
actor	frank_sinatra	person	NEG	Train	-
actor	fred_astaire	person	NEG	Dev	1
actor	gary_cooper	person	NEG	Train	-
actor	gene_kelly	person	NEG	Train	-
actor	gerard_depardieu	person	NEG	Train	-
actor	gibson	person	NEG	Train	-
actor	grant	person	NEG	Train	-
actor	harley_granville-barker	person	NEG	Train	-
actor	harold_lloyd	person	NEG	Train	-
actor	harrison	person	NEG	Train	-
actor	henry_fonda	person	NEG	Train	-
actor	howard	person	NEG	Dev	1
actor	hume_cronyn	person	NEG	Train	-
actor	humphrey_bogart	person	NEG	Train	-
actor	jack_lemmon	person	NEG	Train	-
actor	james_cagney	person	NEG	Train	-
actor	james_dean	person	NEG	Train	-
actor	james_mason	person	NEG	Test	1
actor	jimmy_stewart	person	NEG	Test	1
actor	john_barrymore	person	NEG	Train	-
actor	john_drew	person	NEG	Train	-
actor	john_wayne	person	NEG	Train	-
actor	john_wilkes_booth	person	NEG	Train	-
actor	laurence_olivier	person	NEG	Train	-
actor	lee_strasberg	person	NEG	Train	-
actor	lionel_barrymore	person	NEG	Dev	1
actor	marshall	person	NEG	Train	-
actor	martin	person	NEG	Train	-
actor	maurice_barrymore	person	NEG	Train	-
actor	mel_gibson	person	NEG	Dev	1
actor	moore	person	NEG	Train	-
actor	noel_coward	person	NEG	Dev	2
actor	orson_welles	person	NEG	Train	-
actor	otis_skinner	person	NEG	Train	-
actor	paul_newman	person	NEG	Train	-
actor	peter_lorre	person	NEG	Test	1
actor	peter_sellers	person	NEG	Train	-
actor	ralph_richardson	person	NEG	Test	2
actor	rex_harrison	person	NEG	Train	-
actor	richard_burbage	person	NEG	Train	-
actor	richard_burton	person	NEG	Train	-
actor	robert_mitchum	person	NEG	Train	-
actor	robert_redford	person	NEG	Train	-
actor	robinson	person	NEG	Train	-
actor	scott	person	NEG	Train	-
actor	sidney_poitier	person	NEG	Train	-
actor	spencer_tracy	person	NEG	Train	-
actor	steve_martin	person	NEG	Train	-
actor	stewart	person	NEG	Test	2
actor	tom_hanks	person	NEG	Train	-
actor	tree	person	NEG	Train	-
actor	woody_allen	person	NEG	Train	-
adam_smith	economist	person	POS	Train	-
adams	architect	person	POS	Train	-
adams	man	person	POS	Train	-
adelaide	state_capital	location	POS	Train	-
aden	city	location	POS	Dev	10
aden	port	location	POS	Train	-
adi_granth	religious_text	communication	POS	Train	-
adige	river	object	POS	Train	-
adirondack_mountains	range	object	POS	Train	-
adlai_stevenson	diplomat	person	POS	Train	-
admiral	drake	person	NEG	Train	-
admiral	horatio_nelson	person	NEG	Train	-
admiral	isoroku_yamamoto	person	NEG	Train	-
admiral	nelson	person	NEG	Train	-
admiral	sir_francis_drake	person	NEG	Train	-
admiral	william_bligh	person	NEG	Test	2
admiralty_islands	archipelago	location	POS	Test	2
admiralty_islands	island	object	POS	Test	33
adolf_eichmann	nazi	person	POS	Dev	40
adolf_hitler	dictator	person	POS	Train	-
adolf_hitler	nazi	person	POS	Train	-
adolf_loos	architect	person	POS	Train	-
adriatic_sea	sea	object	POS	Dev	63
aegean_sea	sea	object	POS	Test	62
aeschylus	playwright	person	POS	Train	-
affirmed	thoroughbred	Other	POS	Train	-
africa	continent	object	POS	Train	-
agatha_christie	writer	person	POS	Train	-
agnes_de_mille	choreographer	person	POS	Test	6
agonist	fictional_character	person	POS	Dev	28
agra	city	location	POS	Train	-
agrigento	town	location	POS	Train	-
ahab	king	person	POS	Train	-
aimee_semple_mcpherson	evangelist	person	POS	Train	-
akhenaton	king	person	POS	Train	-
akira_kurosawa	film_producer	person	POS	Train	-
akka	port	location	POS	Train	-
akka	town	location	POS	Train	-
akron	city	location	POS	Train	-
al_hirschfeld	artist	person	POS	Train	-
al_jolson	actor	person	POS	Train	-
al_madinah	city	location	POS	Train	-
alabama_river	river	object	POS	Dev	57
alamo	siege	act	POS	Train	-
alan_jay_lerner	lyricist	person	POS	Dev	37
alan_paton	writer	person	POS	Train	-
alan_seeger	poet	person	POS	Train	-
alan_shepard	astronaut	person	POS	Train	-
alan_turing	mathematician	person	POS	Dev	38
alaska_peninsula	peninsula	object	POS	Train	-
alaska_range	range	object	POS	Dev	55
alban_berg	composer	person	POS	Train	-
albany	state_capital	location	POS	Train	-
albany	town	location	POS	Train	-
albert_abraham_michelson	physicist	person	POS	Train	-
albert_camus	writer	person	POS	Train	-
albert_einstein	physicist	person	POS	Train	-
albert_schweitzer	doctor	person	POS	Train	-
albert_schweitzer	missionary	person	POS	Train	-
albert_schweitzer	organist	person	POS	Train	-
albert_speer	architect	person	POS	Train	-
albert_szent-gyorgyi	biochemist	person	POS	Train	-
alberto_giacometti	painter	person	POS	Train	-
alberto_giacometti	sculptor	person	POS	Train	-
albrecht_durer	old_master	person	POS	Train	-
albuquerque	city	location	POS	Train	-
alcaeus	poet	person	POS	Train	-
alcibiades	general	person	POS	Train	-
