Word1	Word2	OntologicalClass	ExampleType	InPartition	InSplit
aachen	city	location	POS	Train	-
aachen	painter	location	NEG	Train	-
aalborg	city	location	POS	Test	6
aalborg	port	location	POS	Dev	51
aalborg	suspension_bridge	location	NEG	Test	6
aalborg	writer	location	NEG	Dev	51
aalst	roman_emperor	location	NEG	Train	-
aalst	town	location	POS	Train	-
aar	athlete	object	NEG	Train	-
aar	river	object	POS	Train	-
aarhus	city	location	POS	Test	7
aarhus	conductor	location	NEG	Test	7
aarhus	lake	location	NEG	Train	-
aarhus	port	location	POS	Train	-
aaron_burr	city	person	NEG	Train	-
aaron_burr	politician	person	POS	Train	-
aaron_copland	composer	person	POS	Train	-
aaron_copland	river	person	NEG	Train	-
abadan	city	location	POS	Train	-
abadan	port	location	POS	Train	-
abadan	river	location	NEG	Train	-
abadan	writer	location	NEG	Train	-
abel_tasman	epoch	person	NEG	Train	-
abel_tasman	navigator	person	POS	Train	-
aberdare	town	location	POS	Train	-
aberdare	writer	location	NEG	Train	-
aberdeen	city	location	POS	Train	-
aberdeen	doctor	location	NEG	Train	-
aberdeen	port_of_entry	location	POS	Train	-
aberdeen	prophet	location	NEG	Train	-
aberdeen	town	location	POS	Train	-
aberdeen	writer	location	NEG	Train	-
abidjan	city	location	POS	Train	-
abidjan	economist	location	NEG	Train	-
abila	city	object	NEG	Train	-
abila	promontory	object	POS	Train	-
abilene	city	location	POS	Train	-
abilene	journalist	location	NEG	Train	-
abilene	physicist	location	NEG	Train	-
abilene	town	location	POS	Train	-
abkhazia	constellation	location	NEG	Train	-
abkhazia	state	location	POS	Train	-
abraham	patriarch	person	POS	Train	-
abraham	strait	person	NEG	Train	-
abraham_lincoln	constellation	person	NEG	Train	-
abraham_lincoln	lawyer	person	POS	Train	-
abraham_lincoln	president_of_the_united_states	person	POS	Train	-
abraham_lincoln	town	person	NEG	Train	-
abydos	biochemist	location	NEG	Train	-
abydos	town	location	POS	Train	-
acadia	district	location	POS	Train	-
acadia	pope	location	NEG	Train	-
acadia_national_park	national_park	location	POS	Train	-
acadia_national_park	playwright	location	NEG	Train	-
acapulco	city	location	POS	Dev	10
acapulco	financier	location	NEG	Dev	10
acapulco	physicist	location	NEG	Train	-
acapulco	port	location	POS	Train	-
achaea	inventor	location	NEG	Train	-
achaea	region	location	POS	Train	-
acheron	epistle	object	NEG	Test	56
acheron	river	object	POS	Test	56
achomawi	chief_justice	Other	NEG	Train	-
achomawi	community	Other	POS	Train	-
acre	district	location	POS	Train	-
acre	king	location	NEG	Dev	51
acre	port	location	POS	Dev	51
acre	soprano	location	NEG	Train	-
acre	statesman	location	NEG	Train	-
acre	town	location	POS	Train	-
actium	poet	location	NEG	Dev	70
actium	town	location	POS	Dev	70
adam_smith	economist	person	POS	Train	-
adam_smith	port	person	NEG	Train	-
adams	architect	person	POS	Train	-
adams	city	person	NEG	Train	-
adams	constellation	person	NEG	Train	-
adams	man	person	POS	Train	-
adelaide	state_capital	location	POS	Train	-
adelaide	surgeon	location	NEG	Train	-
aden	city	location	POS	Dev	10
aden	inventor	location	NEG	Dev	10
aden	playwright	location	NEG	Train	-
aden	port	location	POS	Train	-
adi_granth	binary_star	communication	NEG	Train	-
adi_granth	religious_text	communication	POS	Train	-
adige	fictional_character	object	NEG	Train	-
adige	river	object	POS	Train	-
adirondack_mountains	general	object	NEG	Train	-
adirondack_mountains	range	object	POS	Train	-
adlai_stevenson	diplomat	person	POS	Train	-
adlai_stevenson	island	person	NEG	Train	-
admiralty_islands	archipelago	location	POS	Test	2
admiralty_islands	composer	object	NEG	Test	33
admiralty_islands	inventor	location	NEG	Test	2
admiralty_islands	island	object	POS	Test	33
adolf_eichmann	nazi	person	POS	Dev	40
adolf_eichmann	state	person	NEG	Dev	40
adolf_hitler	city	person	NEG	Train	-
adolf_hitler	dictator	person	POS	Train	-
adolf_hitler	nazi	person	POS	Train	-
adolf_hitler	port	person	NEG	Train	-
adolf_loos	architect	person	POS	Train	-
adolf_loos	waterfall	person	NEG	Train	-
adriatic_sea	sea	object	POS	Dev	63
adriatic_sea	writer	object	NEG	Dev	63
aegean_sea	crusader	object	NEG	Test	62
aegean_sea	sea	object	POS	Test	62
aeschylus	city	person	NEG	Train	-
aeschylus	playwright	person	POS	Train	-
affirmed	state_capital	Other	NEG	Train	-
affirmed	thoroughbred	Other	POS	Train	-
africa	chemist	object	NEG	Train	-
africa	continent	object	POS	Train	-
agatha_christie	strait	person	NEG	Train	-
agatha_christie	writer	person	POS	Train	-
agnes_de_mille	choreographer	person	POS	Test	6
agnes_de_mille	city	person	NEG	Test	6
agonist	constellation	person	NEG	Dev	28
agonist	fictional_character	person	POS	Dev	28
agra	city	location	POS	Train	-
agra	psychologist	location	NEG	Train	-
agrigento	psychologist	location	NEG	Train	-
agrigento	town	location	POS	Train	-
ahab	king	person	POS	Train	-
ahab	river	person	NEG	Train	-
aimee_semple_mcpherson	city	person	NEG	Train	-
aimee_semple_mcpherson	evangelist	person	POS	Train	-
akhenaton	city	person	NEG	Train	-
akhenaton	king	person	POS	Train	-
akira_kurosawa	city	person	NEG	Train	-
akira_kurosawa	film_producer	person	POS	Train	-
akka	actor	location	NEG	Train	-
akka	port	location	POS	Train	-
akka	river	location	NEG	Train	-
akka	town	location	POS	Train	-
akron	city	location	POS	Train	-
akron	range	location	NEG	Train	-
al_hirschfeld	artist	person	POS	Train	-
al_hirschfeld	city	person	NEG	Train	-
al_jolson	actor	person	POS	Train	-
al_jolson	lake	person	NEG	Train	-
al_madinah	city	location	POS	Train	-
al_madinah	songwriter	location	NEG	Train	-
alabama_river	river	object	POS	Dev	57
alabama_river	state_capital	object	NEG	Dev	57
alamo	composer	act	NEG	Train	-
alamo	siege	act	POS	Train	-
alan_jay_lerner	lyricist	person	POS	Dev	37
alan_jay_lerner	port	person	NEG	Dev	37
alan_paton	village	person	NEG	Train	-
alan_paton	writer	person	POS	Train	-
alan_seeger	asterism	person	NEG	Train	-
alan_seeger	poet	person	POS	Train	-
alan_shepard	astronaut	person	POS	Train	-
alan_shepard	bay	person	NEG	Train	-
alan_turing	mathematician	person	POS	Dev	38
alan_turing	port	person	NEG	Dev	38
alaska_peninsula	city	object	NEG	Train	-
alaska_peninsula	peninsula	object	POS	Train	-
alaska_range	city	object	NEG	Dev	55
alaska_range	range	object	POS	Dev	55
alban_berg	archipelago	person	NEG	Train	-
alban_berg	composer	person	POS	Train	-
albany	saint	location	NEG	Train	-
albany	state_capital	location	POS	Train	-
albany	town	location	POS	Train	-
albany	war	location	NEG	Train	-
albert_abraham_michelson	city	person	NEG	Train	-
albert_abraham_michelson	physicist	person	POS	Train	-
albert_camus	town	person	NEG	Train	-
albert_camus	writer	person	POS	Train	-
albert_einstein	physicist	person	POS	Train	-
albert_einstein	river	person	NEG	Train	-
albert_schweitzer	city	person	NEG	Train	-
albert_schweitzer	doctor	person	POS	Train	-
albert_schweitzer	island	person	NEG	Train	-
albert_schweitzer	missionary	person	POS	Train	-
albert_schweitzer	organist	person	POS	Train	-
albert_schweitzer	river	person	NEG	Train	-
albert_speer	architect	person	POS	Train	-
albert_speer	city	person	NEG	Train	-
albert_szent-gyorgyi	biochemist	person	POS	Train	-
albert_szent-gyorgyi	sea	person	NEG	Train	-
alberto_giacometti	community	person	NEG	Train	-
alberto_giacometti	painter	person	POS	Train	-
alberto_giacometti	river	person	NEG	Train	-
alberto_giacometti	sculptor	person	POS	Train	-
albrecht_durer	old_master	person	POS	Train	-
albrecht_durer	port	person	NEG	Train	-
albuquerque	city	location	POS	Train	-
albuquerque	general	location	NEG	Train	-
alcaeus	city	person	NEG	Train	-
alcaeus	poet	person	POS	Train	-
alcibiades	epistle	person	NEG	Train	-
alcibiades	general	person	POS	Train	-
alcibiades	state	person	NEG	Train	-
alcibiades	statesman	person	POS	Train	-
aldebaran	binary_star	object	POS	Train	-
aldebaran	fiddler	object	NEG	Train	-
aldous_huxley	city	person	NEG	Dev	79
aldous_huxley	writer	person	POS	Dev	79
alec_guinness	actor	person	POS	Train	-
alec_guinness	volcano	person	NEG	Train	-
aleksandr_solzhenitsyn	plateau	person	NEG	Train	-
aleksandr_solzhenitsyn	writer	person	POS	Train	-
aleppo	city	location	POS	Train	-
aleppo	fictional_character	location	NEG	Train	-
alessandro_manzoni	city	person	NEG	Test	77
alessandro_manzoni	writer	person	POS	Test	77
aleutian_islands	archipelago	location	POS	Train	-
aleutian_islands	writer	location	NEG	Train	-
alex_haley	state	person	NEG	Train	-
alex_haley	writer	person	POS	Train	-
alexander_archipelago	archipelago	location	POS	Train	-
alexander_archipelago	fictional_character	location	NEG	Train	-
alexander_calder	city	person	NEG	Train	-
alexander_calder	sculptor	person	POS	Train	-
alexander_graham_bell	constellation	person	NEG	Train	-
alexander_graham_bell	inventor	person	POS	Train	-
alexander_hamilton	city	person	NEG	Train	-
alexander_hamilton	statesman	person	POS	Train	-
alexander_pope	poet	person	POS	Train	-
alexander_pope	port	person	NEG	Train	-
alexander_woollcott	journalist	person	POS	Train	-
alexander_woollcott	sea	person	NEG	Train	-
alexandre_dumas	river	person	NEG	Dev	79
alexandre_dumas	writer	person	POS	Dev	79
alexandria	city	location	POS	Train	-
alexandria	composer	location	NEG	Test	48
alexandria	port	location	POS	Test	48
alexandria	river	location	NEG	Train	-
alexandria	town	location	POS	Train	-
alexandria	writer	location	NEG	Train	-
alexis_carrel	biologist	person	POS	Train	-
