Word1	Word2	OntologicalClass	ExampleType	InPartition	InSplit
aachen	city	location	POS	Train	-
aachen	island	location	NEG	Train	-
aalborg	archipelago	location	NEG	Test	6
aalborg	city	location	POS	Test	6
aalborg	national_park	location	NEG	Dev	51
aalborg	port	location	POS	Dev	51
aalst	port	location	NEG	Train	-
aalst	town	location	POS	Train	-
aar	constellation	object	NEG	Train	-
aar	river	object	POS	Train	-
aarhus	city	location	POS	Test	7
aarhus	island	location	NEG	Test	7
aarhus	port	location	POS	Train	-
aarhus	port_of_entry	location	NEG	Train	-
aaron_burr	politician	person	POS	Train	-
aaron_burr	rock_star	person	NEG	Train	-
aaron_copland	composer	person	POS	Train	-
aaron_copland	jew	person	NEG	Train	-
abadan	city	location	POS	Train	-
abadan	island	location	NEG	Train	-
abadan	national_park	location	NEG	Train	-
abadan	port	location	POS	Train	-
abel_tasman	navigator	person	POS	Train	-
abel_tasman	writer	person	NEG	Train	-
aberdare	archipelago	location	NEG	Train	-
aberdare	town	location	POS	Train	-
aberdeen	archipelago	location	NEG	Train	-
aberdeen	city	location	POS	Train	-
aberdeen	colony	location	NEG	Train	-
aberdeen	mansion	location	NEG	Train	-
aberdeen	port_of_entry	location	POS	Train	-
aberdeen	town	location	POS	Train	-
abidjan	city	location	POS	Train	-
abidjan	port	location	NEG	Train	-
abila	bay	object	NEG	Train	-
abila	promontory	object	POS	Train	-
abilene	cape	location	NEG	Train	-
abilene	city	location	POS	Train	-
abilene	hill	location	NEG	Train	-
abilene	town	location	POS	Train	-
abkhazia	island	location	NEG	Train	-
abkhazia	state	location	POS	Train	-
abraham	jazzman	person	NEG	Train	-
abraham	patriarch	person	POS	Train	-
abraham_lincoln	doctor	person	NEG	Train	-
abraham_lincoln	lawyer	person	POS	Train	-
abraham_lincoln	president_of_the_united_states	person	POS	Train	-
abraham_lincoln	statesman	person	NEG	Train	-
abydos	archipelago	location	NEG	Train	-
abydos	town	location	POS	Train	-
acadia	city	location	NEG	Train	-
acadia	district	location	POS	Train	-
acadia_national_park	city	location	NEG	Train	-
acadia_national_park	national_park	location	POS	Train	-
acapulco	city	location	POS	Dev	10
acapulco	desert	location	NEG	Dev	10
acapulco	island	location	NEG	Train	-
acapulco	port	location	POS	Train	-
achaea	peninsula	location	NEG	Train	-
achaea	region	location	POS	Train	-
acheron	lake	object	NEG	Test	56
acheron	river	object	POS	Test	56
achomawi	community	Other	POS	Train	-
achomawi	eon	Other	NEG	Train	-
acre	district	location	POS	Train	-
acre	port	location	POS	Dev	51
acre	port_of_entry	location	NEG	Train	-
acre	state_capital	location	NEG	Dev	51
acre	town	location	POS	Train	-
acre	village	location	NEG	Train	-
actium	national_park	location	NEG	Dev	70
actium	town	location	POS	Dev	70
adam_smith	economist	person	POS	Train	-
adam_smith	writer	person	NEG	Train	-
adams	architect	person	POS	Train	-
adams	economist	person	NEG	Train	-
adams	man	person	POS	Train	-
adams	writer	person	NEG	Train	-
adelaide	port	location	NEG	Train	-
adelaide	state_capital	location	POS	Train	-
aden	city	location	POS	Dev	10
aden	national_park	location	NEG	Dev	10
aden	port	location	POS	Train	-
aden	state_capital	location	NEG	Train	-
adi_granth	epistle	communication	NEG	Train	-
adi_granth	religious_text	communication	POS	Train	-
adige	constellation	object	NEG	Train	-
adige	river	object	POS	Train	-
adirondack_mountains	range	object	POS	Train	-
adirondack_mountains	river	object	NEG	Train	-
adlai_stevenson	diplomat	person	POS	Train	-
adlai_stevenson	writer	person	NEG	Train	-
admiralty_islands	archipelago	location	POS	Test	2
admiralty_islands	channel	object	NEG	Test	33
admiralty_islands	island	object	POS	Test	33
admiralty_islands	town	location	NEG	Test	2
adolf_eichmann	nazi	person	POS	Dev	40
adolf_eichmann	photographer	person	NEG	Dev	40
adolf_hitler	astronomer	person	NEG	Train	-
adolf_hitler	dictator	person	POS	Train	-
adolf_hitler	historian	person	NEG	Train	-
adolf_hitler	nazi	person	POS	Train	-
adolf_loos	architect	person	POS	Train	-
adolf_loos	painter	person	NEG	Train	-
adriatic_sea	constellation	object	NEG	Dev	63
adriatic_sea	sea	object	POS	Dev	63
aegean_sea	river	object	NEG	Test	62
aegean_sea	sea	object	POS	Test	62
aeschylus	physicist	person	NEG	Train	-
aeschylus	playwright	person	POS	Train	-
affirmed	community	Other	NEG	Train	-
affirmed	thoroughbred	Other	POS	Train	-
africa	continent	object	POS	Train	-
africa	river	object	NEG	Train	-
agatha_christie	saint	person	NEG	Train	-
agatha_christie	writer	person	POS	Train	-
agnes_de_mille	choreographer	person	POS	Test	6
agnes_de_mille	prophet	person	NEG	Test	6
agonist	fictional_character	person	POS	Dev	28
agonist	king_of_england	person	NEG	Dev	28
agra	city	location	POS	Train	-
agra	port	location	NEG	Train	-
agrigento	port	location	NEG	Train	-
agrigento	town	location	POS	Train	-
ahab	engineer	person	NEG	Train	-
ahab	king	person	POS	Train	-
aimee_semple_mcpherson	architect	person	NEG	Train	-
aimee_semple_mcpherson	evangelist	person	POS	Train	-
akhenaton	composer	person	NEG	Train	-
akhenaton	king	person	POS	Train	-
akira_kurosawa	aviator	person	NEG	Train	-
akira_kurosawa	film_producer	person	POS	Train	-
akka	desert	location	NEG	Train	-
akka	island	location	NEG	Train	-
akka	port	location	POS	Train	-
akka	town	location	POS	Train	-
akron	city	location	POS	Train	-
akron	port	location	NEG	Train	-
al_hirschfeld	artist	person	POS	Train	-
al_hirschfeld	biochemist	person	NEG	Train	-
al_jolson	actor	person	POS	Train	-
al_jolson	physicist	person	NEG	Train	-
al_madinah	city	location	POS	Train	-
al_madinah	port	location	NEG	Train	-
alabama_river	river	object	POS	Dev	57
alabama_river	sea	object	NEG	Dev	57
alamo	revolution	act	NEG	Train	-
alamo	siege	act	POS	Train	-
alan_jay_lerner	film_producer	person	NEG	Dev	37
alan_jay_lerner	lyricist	person	POS	Dev	37
alan_paton	queen	person	NEG	Train	-
alan_paton	writer	person	POS	Train	-
alan_seeger	economist	person	NEG	Train	-
alan_seeger	poet	person	POS	Train	-
alan_shepard	astronaut	person	POS	Train	-
alan_shepard	engineer	person	NEG	Train	-
alan_turing	mathematician	person	POS	Dev	38
alan_turing	writer	person	NEG	Dev	38
alaska_peninsula	peninsula	object	POS	Train	-
alaska_peninsula	river	object	NEG	Train	-
alaska_range	plateau	object	NEG	Dev	55
alaska_range	range	object	POS	Dev	55
alban_berg	composer	person	POS	Train	-
alban_berg	writer	person	NEG	Train	-
albany	hill	location	NEG	Train	-
albany	island	location	NEG	Train	-
albany	state_capital	location	POS	Train	-
albany	town	location	POS	Train	-
albert_abraham_michelson	physicist	person	POS	Train	-
albert_abraham_michelson	prophet	person	NEG	Train	-
albert_camus	general	person	NEG	Train	-
albert_camus	writer	person	POS	Train	-
albert_einstein	physicist	person	POS	Train	-
albert_einstein	playwright	person	NEG	Train	-
albert_schweitzer	doctor	person	POS	Train	-
albert_schweitzer	fictional_character	person	NEG	Train	-
