Word1	Word2	OntologicalClass	ExampleType	InPartition	InSplit
aachen	city	location	POS	Train	-
aachen	cleveland	location	NEG	Train	-
aachen	painter	location	NEG	Train	-
aalborg	city	location	POS	Test	6
aalborg	huambo	location	NEG	Dev	51
aalborg	port	location	POS	Dev	51
aalborg	suspension_bridge	location	NEG	Test	6
aalborg	wall_street	location	NEG	Test	6
aalborg	writer	location	NEG	Dev	51
aalst	kwazulu-natal	location	NEG	Train	-
aalst	roman_emperor	location	NEG	Train	-
aalst	town	location	POS	Train	-
aar	athlete	object	NEG	Train	-
aar	chesapeake_bay	object	NEG	Train	-
aar	river	object	POS	Train	-
aarhus	city	location	POS	Test	7
aarhus	conductor	location	NEG	Test	7
aarhus	frederick	location	NEG	Train	-
aarhus	lake	location	NEG	Train	-
aarhus	port	location	POS	Train	-
aarhus	reading	location	NEG	Test	7
aaron_burr	cecil_frank_powell	person	NEG	Train	-
aaron_burr	city	person	NEG	Train	-
aaron_burr	politician	person	POS	Train	-
aaron_copland	composer	person	POS	Train	-
aaron_copland	river	person	NEG	Train	-
aaron_copland	william_byrd	person	NEG	Train	-
abadan	city	location	POS	Train	-
abadan	djanet	location	NEG	Train	-
abadan	north_platte	location	NEG	Train	-
abadan	port	location	POS	Train	-
abadan	river	location	NEG	Train	-
abadan	writer	location	NEG	Train	-
abel_tasman	epoch	person	NEG	Train	-
abel_tasman	maker	person	NEG	Train	-
abel_tasman	navigator	person	POS	Train	-
aberdare	town	location	POS	Train	-
aberdare	twins	location	NEG	Train	-
aberdare	writer	location	NEG	Train	-
aberdeen	city	location	POS	Train	-
aberdeen	cusco	location	NEG	Train	-
aberdeen	doctor	location	NEG	Train	-
aberdeen	palatinate	location	NEG	Train	-
aberdeen	port_of_entry	location	POS	Train	-
aberdeen	prophet	location	NEG	Train	-
aberdeen	town	location	POS	Train	-
aberdeen	uttar_pradesh	location	NEG	Train	-
aberdeen	writer	location	NEG	Train	-
abidjan	city	location	POS	Train	-
abidjan	economist	location	NEG	Train	-
abidjan	mankato	location	NEG	Train	-
abila	city	object	NEG	Train	-
abila	promontory	object	POS	Train	-
abila	strait_of_gibraltar	object	NEG	Train	-
abilene	city	location	POS	Train	-
abilene	journalist	location	NEG	Train	-
abilene	mammoth_cave_national_park	location	NEG	Train	-
abilene	northern_mariana_islands	location	NEG	Train	-
abilene	physicist	location	NEG	Train	-
abilene	town	location	POS	Train	-
abkhazia	constellation	location	NEG	Train	-
abkhazia	kitakyushu	location	NEG	Train	-
abkhazia	state	location	POS	Train	-
abraham	patriarch	person	POS	Train	-
abraham	stephane_mallarme	person	NEG	Train	-
abraham	strait	person	NEG	Train	-
abraham_lincoln	constellation	person	NEG	Train	-
abraham_lincoln	crispin	person	NEG	Train	-
abraham_lincoln	james_hogg	person	NEG	Train	-
abraham_lincoln	lawyer	person	POS	Train	-
abraham_lincoln	president_of_the_united_states	person	POS	Train	-
abraham_lincoln	town	person	NEG	Train	-
abydos	bavaria	location	NEG	Train	-
abydos	biochemist	location	NEG	Train	-
abydos	town	location	POS	Train	-
acadia	district	location	POS	Train	-
acadia	karachi	location	NEG	Train	-
acadia	pope	location	NEG	Train	-
acadia_national_park	bridgetown	location	NEG	Train	-
acadia_national_park	national_park	location	POS	Train	-
acadia_national_park	playwright	location	NEG	Train	-
acapulco	city	location	POS	Dev	10
acapulco	ferrara	location	NEG	Train	-
acapulco	financier	location	NEG	Dev	10
acapulco	luzon	location	NEG	Dev	10
acapulco	physicist	location	NEG	Train	-
acapulco	port	location	POS	Train	-
achaea	inventor	location	NEG	Train	-
achaea	region	location	POS	Train	-
achaea	sevastopol	location	NEG	Train	-
acheron	colorado_river	object	NEG	Test	56
acheron	epistle	object	NEG	Test	56
acheron	river	object	POS	Test	56
achomawi	assault	Other	NEG	Train	-
achomawi	chief_justice	Other	NEG	Train	-
achomawi	community	Other	POS	Train	-
acre	district	location	POS	Train	-
acre	king	location	NEG	Dev	51
acre	new_haven	location	NEG	Dev	51
acre	pinsk	location	NEG	Train	-
acre	port	location	POS	Dev	51
acre	san_juan	location	NEG	Train	-
acre	soprano	location	NEG	Train	-
acre	statesman	location	NEG	Train	-
acre	town	location	POS	Train	-
actium	hershey	location	NEG	Dev	70
actium	poet	location	NEG	Dev	70
actium	town	location	POS	Dev	70
actor	al_jolson	person	NEG	Train	-
actor	alec_guinness	person	NEG	Train	-
actor	alfred_lunt	person	NEG	Dev	1
actor	anthony_hopkins	person	NEG	Train	-
actor	bela_lugosi	person	NEG	Test	1
actor	bing_crosby	person	NEG	Train	-
actor	booth	person	NEG	Train	-
actor	boris_karloff	person	NEG	Test	1
actor	bruce_lee	person	NEG	Train	-
actor	buster_keaton	person	NEG	Train	-
actor	cary_grant	person	NEG	Train	-
actor	charles_laughton	person	NEG	Train	-
actor	clark_gable	person	NEG	Train	-
actor	coward	person	NEG	Train	-
actor	david_garrick	person	NEG	Train	-
actor	dean	person	NEG	Train	-
actor	douglas_fairbanks	person	NEG	Train	-
actor	dudley_moore	person	NEG	Train	-
actor	dustin_hoffman	person	NEG	Test	1
actor	edmund_kean	person	NEG	Train	-
actor	erich_von_stroheim	person	NEG	Dev	1
actor	frank_sinatra	person	NEG	Train	-
actor	fred_astaire	person	NEG	Dev	1
actor	gary_cooper	person	NEG	Train	-
actor	gene_kelly	person	NEG	Train	-
actor	gerard_depardieu	person	NEG	Train	-
actor	gibson	person	NEG	Train	-
actor	grant	person	NEG	Train	-
actor	harley_granville-barker	person	NEG	Train	-
actor	harold_lloyd	person	NEG	Train	-
actor	harrison	person	NEG	Train	-
actor	henry_fonda	person	NEG	Train	-
